,precision,recall,f1-score,support
Adalia bipunctata,0.028634361233480177,0.9285714285714286,0.05555555555555555,14.0
Aedes albopictus,0.10824742268041238,0.9545454545454546,0.19444444444444445,22.0
Aeshna cyanea,0.7777777777777778,1.0,0.875,7.0
Aeshna mixta,1.0,0.6666666666666666,0.8,6.0
Aglais io,1.0,0.8888888888888888,0.9411764705882353,36.0
Aglais urticae,1.0,1.0,1.0,27.0
Agrius convolvuli,1.0,0.8181818181818182,0.9,11.0
Agrotis ipsilon,1.0,1.0,1.0,13.0
Anacridium aegyptium,1.0,0.5,0.6666666666666666,8.0
Anania funebris,1.0,0.7142857142857143,0.8333333333333334,7.0
Anania hortulata,1.0,1.0,1.0,6.0
Anax imperator,1.0,0.7142857142857143,0.8333333333333334,7.0
Ancistrocerus gazella,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Anthidium manicatum,1.0,0.7692307692307693,0.8695652173913043,13.0
Anthocharis cardamines,1.0,0.8888888888888888,0.9411764705882353,9.0
Anthrenus verbasci,1.0,0.7857142857142857,0.88,14.0
Apatura ilia,1.0,1.0,1.0,5.0
Aphantopus hyperantus,1.0,0.9230769230769231,0.96,13.0
Aphis nerii,0.7959183673469388,0.9512195121951219,0.8666666666666667,41.0
Aphomia sociella,1.0,0.8888888888888888,0.9411764705882353,9.0
Apis mellifera,0.8518518518518519,0.31797235023041476,0.46308724832214765,651.0
Aporia crataegi,1.0,1.0,1.0,4.0
Araschnia levana,1.0,0.9285714285714286,0.9629629629629629,14.0
Arctia caja,1.0,1.0,1.0,6.0
Arctia villica,1.0,1.0,1.0,5.0
Argynnis paphia,1.0,1.0,1.0,19.0
Autographa gamma,0.9285714285714286,1.0,0.9629629629629629,13.0
Biston betularia,1.0,0.9,0.9473684210526315,10.0
Bombus terrestris,0.96875,0.8611111111111112,0.9117647058823529,36.0
Bombylius major,1.0,0.8333333333333334,0.9090909090909091,18.0
Cacyreus marshalli,1.0,1.0,1.0,6.0
Calopteryx virgo,1.0,0.9090909090909091,0.9523809523809523,11.0
Carabus nemoralis,1.0,0.8,0.8888888888888888,10.0
Carterocephalus palaemon,1.0,1.0,1.0,8.0
Celastrina argiolus,1.0,0.7777777777777778,0.875,9.0
Cetonia aurata,1.0,0.8333333333333334,0.9090909090909091,6.0
Chrysolina bankii,1.0,0.7142857142857143,0.8333333333333334,7.0
Clogmia albipunctata,0.7272727272727273,1.0,0.8421052631578947,8.0
Coccinella septempunctata,0.8918918918918919,0.8333333333333334,0.8616187989556136,198.0
Coenagrion puella,1.0,0.8333333333333334,0.9090909090909091,6.0
Coenonympha arcania,1.0,1.0,1.0,5.0
Coenonympha pamphilus,1.0,1.0,1.0,19.0
Colias croceus,1.0,0.8888888888888888,0.9411764705882353,9.0
Coreus marginatus,1.0,0.5,0.6666666666666666,4.0
Crocothemis erythraea,0.8333333333333334,1.0,0.9090909090909091,15.0
Cydalima perspectalis,1.0,1.0,1.0,5.0
Dorcus parallelipipedus,1.0,0.8333333333333334,0.9090909090909091,6.0
Ecliptopera silaceata,1.0,1.0,1.0,8.0
Ectropis crepuscularia,1.0,0.8571428571428571,0.9230769230769231,7.0
Emmelina monodactyla,1.0,0.9090909090909091,0.9523809523809523,11.0
Enallagma cyathigerum,0.875,1.0,0.9333333333333333,7.0
Epirrhoe alternata,1.0,1.0,1.0,10.0
Episyrphus balteatus,1.0,0.8666666666666667,0.9285714285714286,15.0
Eristalis tenax,1.0,0.5294117647058824,0.6923076923076923,17.0
Euborellia annulipes,1.0,1.0,1.0,4.0
Euplagia quadripunctaria,1.0,1.0,1.0,11.0
Evergestis pallidata,1.0,1.0,1.0,3.0
Gonepteryx rhamni,1.0,0.9090909090909091,0.9523809523809523,11.0
Halyomorpha halys,0.9545454545454546,0.9130434782608695,0.9333333333333333,23.0
Harmonia axyridis,0.8741007194244604,0.8966789667896679,0.8852459016393442,271.0
Hermetia illucens,1.0,0.75,0.8571428571428571,12.0
Hippodamia variegata,1.0,0.75,0.8571428571428571,4.0
Idaea dimidiata,1.0,0.7777777777777778,0.875,9.0
Iphiclides podalirius,1.0,0.9230769230769231,0.96,13.0
Ischnura elegans,0.8,0.8888888888888888,0.8421052631578947,18.0
Issoria lathonia,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Lampides boeticus,1.0,0.9285714285714286,0.9629629629629629,14.0
Lasiommata megera,1.0,0.75,0.8571428571428571,20.0
Leptinotarsa decemlineata,1.0,1.0,1.0,6.0
Leptoglossus occidentalis,0.9333333333333333,0.8235294117647058,0.875,17.0
Lestes dryas,0.8333333333333334,0.625,0.7142857142857143,8.0
Libellula quadrimaculata,1.0,0.9714285714285714,0.9855072463768116,35.0
Limenitis reducta,1.0,1.0,1.0,8.0
Linepithema humile,0.8888888888888888,0.7272727272727273,0.8,11.0
Lucanus cervus,0.9090909090909091,1.0,0.9523809523809523,10.0
Lucilia sericata,1.0,0.8,0.8888888888888888,5.0
Lycaena phlaeas,0.975,1.0,0.9873417721518988,39.0
Lymantria dispar,1.0,0.8,0.8888888888888888,25.0
Macroglossum stellatarum,1.0,0.9047619047619048,0.95,21.0
Maniola jurtina,0.7241379310344828,0.9545454545454546,0.8235294117647058,22.0
Mantis religiosa,0.759493670886076,0.967741935483871,0.851063829787234,62.0
Megachile sculpturalis,1.0,0.5,0.6666666666666666,4.0
Melanargia galathea,1.0,1.0,1.0,13.0
Melitaea didyma,1.0,1.0,1.0,4.0
Metcalfa pruinosa,0.625,1.0,0.7692307692307693,15.0
Musca domestica,0.875,1.0,0.9333333333333333,7.0
Mythimna unipuncta,0.9285714285714286,1.0,0.9629629629629629,26.0
Nezara viridula,1.0,0.8571428571428571,0.9230769230769231,14.0
Noctua pronuba,0.9411764705882353,0.9411764705882353,0.9411764705882353,51.0
Nymphalis antiopa,0.9649122807017544,0.9090909090909091,0.9361702127659575,121.0
Ochlodes sylvanus,1.0,1.0,1.0,11.0
Ocypus olens,1.0,0.7142857142857143,0.8333333333333334,7.0
Orgyia antiqua,1.0,1.0,1.0,3.0
Orthetrum cancellatum,1.0,0.7142857142857143,0.8333333333333334,14.0
Orthonama obstipata,0.8235294117647058,1.0,0.9032258064516129,14.0
Oryctes nasicornis,1.0,0.8,0.8888888888888888,5.0
Otiorhynchus sulcatus,1.0,0.75,0.8571428571428571,4.0
Oxythyrea funesta,1.0,0.6666666666666666,0.8,6.0
Palomena prasina,1.0,1.0,1.0,5.0
Papilio machaon,0.96,0.96,0.96,25.0
Pararge aegeria,0.9487179487179487,0.9736842105263158,0.961038961038961,38.0
Pasiphila rectangulata,1.0,0.9,0.9473684210526315,10.0
Pentatoma rufipes,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Phaneroptera nana,1.0,0.875,0.9333333333333333,8.0
Phlogophora meticulosa,1.0,0.8571428571428571,0.9230769230769231,7.0
Phragmatobia fuliginosa,1.0,1.0,1.0,10.0
Pieris brassicae,0.5714285714285714,0.4,0.47058823529411764,10.0
Pieris napi,1.0,0.85,0.918918918918919,20.0
Pieris rapae,0.7981072555205048,0.937037037037037,0.8620102214650767,270.0
Platycnemis pennipes,0.8333333333333334,1.0,0.9090909090909091,10.0
Plodia interpunctella,1.0,0.8333333333333334,0.9090909090909091,6.0
Plutella xylostella,0.9047619047619048,1.0,0.95,19.0
Polistes dominula,1.0,0.9259259259259259,0.9615384615384616,27.0
Polydrusus formosus,0.8571428571428571,1.0,0.9230769230769231,6.0
Polygonia c-album,1.0,0.9473684210526315,0.972972972972973,19.0
Polyommatus icarus,1.0,0.8947368421052632,0.9444444444444444,19.0
Propylea quatuordecimpunctata,0.9166666666666666,1.0,0.9565217391304348,11.0
Pyralis farinalis,1.0,1.0,1.0,13.0
Pyrausta inornatalis,1.0,0.9090909090909091,0.9523809523809523,11.0
Pyronia tithonus,1.0,0.8571428571428571,0.9230769230769231,7.0
Pyrrhocoris apterus,0.8181818181818182,0.6923076923076923,0.75,13.0
Pyrrhosoma nymphula,0.8571428571428571,1.0,0.9230769230769231,6.0
Rhagonycha fulva,1.0,1.0,1.0,7.0
Rutpela maculata,1.0,0.8333333333333334,0.9090909090909091,6.0
Scathophaga stercoraria,1.0,0.8888888888888888,0.9411764705882353,9.0
Sceliphron caementarium,0.8913043478260869,0.7592592592592593,0.82,54.0
Scoliopteryx libatrix,1.0,1.0,1.0,5.0
Sitochroa palealis,0.75,0.75,0.75,8.0
Sympetrum fonscolombii,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Sympetrum sanguineum,1.0,0.7142857142857143,0.8333333333333334,7.0
Sympetrum striolatum,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
Syritta pipiens,0.75,0.75,0.75,4.0
Tettigonia viridissima,1.0,1.0,1.0,5.0
Thaumetopoea pityocampa,1.0,1.0,1.0,5.0
Thymelicus lineola,1.0,0.96,0.9795918367346939,25.0
Trithemis annulata,1.0,1.0,1.0,6.0
Tyria jacobaeae,1.0,1.0,1.0,16.0
Vanessa atalanta,0.9411764705882353,0.36363636363636365,0.5245901639344263,308.0
Vanessa cardui,0.9318181818181818,0.9647058823529412,0.9479768786127167,170.0
Vespa crabro,0.9473684210526315,0.8571428571428571,0.9,21.0
Vespula germanica,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
Vespula vulgaris,0.7692307692307693,1.0,0.8695652173913043,10.0
Xanthorhoe ferrugata,1.0,1.0,1.0,9.0
Zelus renardii,0.6785714285714286,0.9047619047619048,0.7755102040816326,21.0
accuracy,0.7575596816976128,0.7575596816976128,0.7575596816976128,0.7575596816976128
macro avg,0.9349623704053626,0.881163623905198,0.8933097889320322,3770.0
weighted avg,0.8991647243169884,0.7575596816976128,0.7896634155856258,3770.0
